2017-12-23 22:42:50.032 ,9128283L2,99-057,0-00+,
2017-12-23 22:42:50.331 ,9128283L2,99-095,0-003,
2017-12-23 22:42:50.634 ,9128283L2,99-136,0-003,
2017-12-23 22:42:50.934 ,9128283L2,99-181,0-002,
2017-12-23 22:42:51.235 ,9128283L2,99-223,0-003,
2017-12-23 22:42:51.544 ,9128283L2,99-261,0-003,
2017-12-23 22:42:51.843 ,9128283L2,99-30+,0-00+,
2017-12-23 22:42:52.143 ,9128283L2,100-02+,0-002,
2017-12-23 22:42:52.446 ,9128283L2,100-067,0-00+,
2017-12-23 22:42:52.752 ,9128283L2,100-105,0-00+,
2017-12-23 22:42:53.054 ,9128283L2,100-143,0-003,
2017-12-23 22:42:53.360 ,9128283L2,100-186,0-00+,
2017-12-23 22:42:53.661 ,9128283L2,100-226,0-002,
2017-12-23 22:42:53.963 ,9128283L2,100-271,0-00+,
2017-12-23 22:42:54.270 ,9128283L2,100-312,0-003,
2017-12-23 22:42:54.576 ,9128283L2,100-281,0-002,
2017-12-23 22:42:54.877 ,9128283L2,100-240,0-00+,
2017-12-23 22:42:55.178 ,9128283L2,100-200,0-002,
2017-12-23 22:42:55.480 ,9128283L2,100-163,0-00+,
2017-12-23 22:42:55.787 ,9128283L2,100-13+,0-00+,
2017-12-23 22:42:56.089 ,9128283L2,100-09+,0-003,
2017-12-23 22:42:56.389 ,9128283L2,100-052,0-00+,
2017-12-23 22:42:56.697 ,9128283L2,100-012,0-002,
2017-12-23 22:42:57.000 ,9128283L2,99-290,0-00+,
2017-12-23 22:42:57.306 ,9128283L2,99-250,0-003,
2017-12-23 22:42:57.611 ,9128283L2,99-205,0-00+,
2017-12-23 22:42:57.911 ,9128283L2,99-163,0-003,
2017-12-23 22:42:58.216 ,9128283L2,99-122,0-003,
2017-12-23 22:42:58.523 ,9128283L2,99-077,0-00+,
2017-12-23 22:42:58.824 ,9128283L2,99-035,0-003,
2017-12-23 22:42:59.131 ,912828M80,99-005,0-003,
2017-12-23 22:42:59.433 ,912828M80,99-046,0-003,
2017-12-23 22:42:59.736 ,912828M80,99-090,0-002,
2017-12-23 22:43:00.037 ,912828M80,99-133,0-00+,
2017-12-23 22:43:00.339 ,912828M80,99-171,0-003,
2017-12-23 22:43:00.639 ,912828M80,99-207,0-003,
2017-12-23 22:43:00.944 ,912828M80,99-253,0-00+,
2017-12-23 22:43:01.250 ,912828M80,99-296,0-00+,
2017-12-23 22:43:01.550 ,912828M80,100-016,0-002,
2017-12-23 22:43:01.851 ,912828M80,100-061,0-003,
2017-12-23 22:43:02.153 ,912828M80,100-10+,0-00+,
2017-12-23 22:43:02.459 ,912828M80,100-146,0-003,
2017-12-23 22:43:02.760 ,912828M80,100-187,0-00+,
2017-12-23 22:43:03.061 ,912828M80,100-230,0-003,
2017-12-23 22:43:03.362 ,912828M80,100-272,0-002,
2017-12-23 22:43:03.664 ,912828M80,100-315,0-00+,
2017-12-23 22:43:03.968 ,912828M80,100-281,0-002,
2017-12-23 22:43:04.268 ,912828M80,100-236,0-003,
2017-12-23 22:43:04.575 ,912828M80,100-19+,0-00+,
2017-12-23 22:43:04.876 ,912828M80,100-155,0-00+,
2017-12-23 22:43:05.178 ,912828M80,100-115,0-002,
2017-12-23 22:43:05.483 ,912828M80,100-072,0-002,
2017-12-23 22:43:05.786 ,912828M80,100-027,0-00+,
2017-12-23 22:43:06.088 ,912828M80,99-310,0-002,
2017-12-23 22:43:06.390 ,912828M80,99-26+,0-003,
2017-12-23 22:43:06.694 ,912828M80,99-222,0-00+,
2017-12-23 22:43:06.996 ,912828M80,99-177,0-003,
2017-12-23 22:43:07.301 ,912828M80,99-137,0-00+,
2017-12-23 22:43:07.607 ,912828M80,99-09+,0-00+,
2017-12-23 22:43:07.909 ,912828M80,99-053,0-002,
2017-12-23 22:43:08.213 ,912828M80,99-012,0-00+,
2017-12-23 22:43:08.515 ,9128283J7,99-030,0-002,
2017-12-23 22:43:08.815 ,9128283J7,99-072,0-00+,
2017-12-23 22:43:09.120 ,9128283J7,99-113,0-002,
2017-12-23 22:43:09.423 ,9128283J7,99-155,0-00+,
2017-12-23 22:43:09.726 ,9128283J7,99-200,0-00+,
2017-12-23 22:43:10.027 ,9128283J7,99-242,0-003,
2017-12-23 22:43:10.331 ,9128283J7,99-285,0-002,
2017-12-23 22:43:10.634 ,9128283J7,100-006,0-00+,
2017-12-23 22:43:10.934 ,9128283J7,100-046,0-002,
2017-12-23 22:43:11.237 ,9128283J7,100-090,0-00+,
2017-12-23 22:43:11.545 ,9128283J7,100-130,0-002,
2017-12-23 22:43:11.844 ,9128283J7,100-172,0-00+,
2017-12-23 22:43:12.153 ,9128283J7,100-217,0-00+,
2017-12-23 22:43:12.458 ,9128283J7,100-257,0-002,
2017-12-23 22:43:12.765 ,9128283J7,100-300,0-00+,
2017-12-23 22:43:13.070 ,9128283J7,100-291,0-00+,
2017-12-23 22:43:13.375 ,9128283J7,100-247,0-003,
2017-12-23 22:43:13.686 ,9128283J7,100-206,0-002,
2017-12-23 22:43:13.989 ,9128283J7,100-165,0-003,
2017-12-23 22:43:14.295 ,9128283J7,100-126,0-00+,
2017-12-23 22:43:14.600 ,9128283J7,100-083,0-003,
2017-12-23 22:43:14.906 ,9128283J7,100-042,0-003,
2017-12-23 22:43:15.206 ,9128283J7,100-000,0-00+,
2017-12-23 22:43:15.509 ,9128283J7,99-275,0-003,
2017-12-23 22:43:15.814 ,9128283J7,99-23+,0-002,
2017-12-23 22:43:16.122 ,9128283J7,99-191,0-00+,
2017-12-23 22:43:16.425 ,9128283J7,99-146,0-00+,
2017-12-23 22:43:16.730 ,9128283J7,99-105,0-002,
2017-12-23 22:43:17.030 ,9128283J7,99-06+,0-00+,
2017-12-23 22:43:17.337 ,9128283J7,99-02+,0-003,
2017-12-23 22:43:17.639 ,9128283F5,99-020,0-00+,
2017-12-23 22:43:17.945 ,9128283F5,99-062,0-003,
2017-12-23 22:43:18.247 ,9128283F5,99-103,0-003,
2017-12-23 22:43:18.547 ,9128283F5,99-147,0-00+,
2017-12-23 22:43:18.848 ,9128283F5,99-187,0-002,
2017-12-23 22:43:19.155 ,9128283F5,99-233,0-002,
2017-12-23 22:43:19.456 ,9128283F5,99-27+,0-00+,
2017-12-23 22:43:19.763 ,9128283F5,99-316,0-003,
2017-12-23 22:43:20.065 ,9128283F5,100-041,0-002,
2017-12-23 22:43:20.366 ,9128283F5,100-083,0-00+,
2017-12-23 22:43:20.666 ,9128283F5,100-123,0-002,
2017-12-23 22:43:20.966 ,9128283F5,100-165,0-00+,
2017-12-23 22:43:21.271 ,9128283F5,100-210,0-00+,
2017-12-23 22:43:21.573 ,9128283F5,100-250,0-002,
2017-12-23 22:43:21.875 ,9128283F5,100-293,0-00+,
2017-12-23 22:43:22.174 ,9128283F5,100-300,0-00+,
2017-12-23 22:43:22.482 ,9128283F5,100-260,0-002,
2017-12-23 22:43:22.785 ,9128283F5,100-217,0-003,
2017-12-23 22:43:23.087 ,9128283F5,100-180,0-00+,
2017-12-23 22:43:23.386 ,9128283F5,100-140,0-003,
2017-12-23 22:43:23.692 ,9128283F5,100-101,0-002,
2017-12-23 22:43:23.996 ,9128283F5,100-060,0-00+,
2017-12-23 22:43:24.299 ,9128283F5,100-017,0-002,
2017-12-23 22:43:24.603 ,9128283F5,99-29+,0-002,
2017-12-23 22:43:24.907 ,9128283F5,99-255,0-002,
2017-12-23 22:43:25.213 ,9128283F5,99-212,0-002,
2017-12-23 22:43:25.519 ,9128283F5,99-173,0-002,
2017-12-23 22:43:25.822 ,9128283F5,99-132,0-00+,
2017-12-23 22:43:26.125 ,9128283F5,99-093,0-00+,
2017-12-23 22:43:26.432 ,9128283F5,99-050,0-00+,
2017-12-23 22:43:26.736 ,9128283F5,99-005,0-003,
2017-12-23 22:43:27.045 ,912810RZ3,99-035,0-00+,
2017-12-23 22:43:27.352 ,912810RZ3,99-076,0-003,
2017-12-23 22:43:27.656 ,912810RZ3,99-117,0-003,
2017-12-23 22:43:27.957 ,912810RZ3,99-157,0-002,
2017-12-23 22:43:28.264 ,912810RZ3,99-201,0-00+,
2017-12-23 22:43:28.566 ,912810RZ3,99-24+,0-00+,
2017-12-23 22:43:28.872 ,912810RZ3,99-286,0-003,
2017-12-23 22:43:29.175 ,912810RZ3,100-023,0-003,
2017-12-23 22:43:29.474 ,912810RZ3,100-085,0-002,
2017-12-23 22:43:29.777 ,912810RZ3,100-153,0-002,
2017-12-23 22:43:30.080 ,912810RZ3,100-222,0-003,
2017-12-23 22:43:30.381 ,912810RZ3,100-287,0-002,
2017-12-23 22:43:30.680 ,912810RZ3,100-282,0-002,
2017-12-23 22:43:30.980 ,912810RZ3,100-215,0-00+,
2017-12-23 22:43:31.282 ,912810RZ3,100-151,0-003,
2017-12-23 22:43:31.588 ,912810RZ3,100-086,0-003,
2017-12-23 22:43:31.890 ,912810RZ3,100-022,0-00+,
2017-12-23 22:43:32.194 ,912810RZ3,99-273,0-00+,
2017-12-23 22:43:32.498 ,912810RZ3,99-205,0-00+,
2017-12-23 22:43:32.801 ,912810RZ3,99-143,0-002,
2017-12-23 22:43:33.102 ,912810RZ3,99-075,0-002,
2017-12-23 22:43:33.402 ,912810RZ3,99-007,0-002,
